REC-START | 2025-10-27 12:44:18.879

INIT-VARS | POS:[-3.159839E-07,0.7190169,-12.99999] | ROT:[0.001421338,3.751424E-06,2.753349E-07] | VEL:[-1.57569E-08,-6.854191E-07,-3.715726E-08] | AVL:[-9.708136E-08,-2.493339E-12,4.175613E-08]

CURR-VARS | DUR:[18]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[12]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[15]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[25]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[23]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[15]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[25]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[15]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[15]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[23]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[18]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[22]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[13]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[21]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[24]ms | ACC:[0.33800] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[16]ms | ACC:[0.41621] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[16]ms | ACC:[0.48929] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[24]ms | ACC:[0.54845] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[16]ms | ACC:[0.65372] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[16]ms | ACC:[0.72028] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[24]ms | ACC:[0.80382] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[16]ms | ACC:[0.89507] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[24]ms | ACC:[0.94464] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[16]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[17]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[24]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[18]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[23]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[17]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[17]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[24]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[16]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[24]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[16]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[15]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[25]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[17]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[23]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.01511]
CURR-VARS | DUR:[16]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.01498]
CURR-VARS | DUR:[16]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.01428]
