REC-START | 2025-10-17 16:48:40.909

INIT-VARS | POS:[9.017979E-07,0.7190168,-12.99998] | ROT:[0.001420307,5.548104E-06,-7.567181E-07] | VEL:[1.198428E-08,1.400639E-06,-3.421732E-08] | AVL:[-8.896671E-08,-4.211298E-11,-3.168755E-08]

CURR-VARS | DUR:[19]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[13]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[23]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[23]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[25]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[23]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[15]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[25]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[15]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[25]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[23]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[0.00702]
