REC-START | 2025-10-27 12:24:39.263

INIT-VARS | POS:[-1.785401E-05,0.7190168,-13] | ROT:[0.001421318,-3.904939E-05,1.560307E-07] | VEL:[-4.966261E-09,4.470125E-07,-6.141755E-08] | AVL:[-1.611955E-07,1.095208E-10,1.179557E-08]

CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[14]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[15]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[26]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[14]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[15]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[26]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[15]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[23]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[15]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[23]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[23]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[24]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[0.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[24]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[15]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[25]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[25]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[23]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[24]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[24]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[24]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[22]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[24]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[15]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[25]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[24]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[26]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[23]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[15]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[25]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[24]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[24]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[25]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[15]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[25]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[23]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[24]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[25]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[22]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[24]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[24]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[24]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[24]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[23]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[24]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[25]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[25]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[23]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[24]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[25]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[23]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[23]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[18]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[24]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[15]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[25]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[25]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[18]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[22]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[17]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[23]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
CURR-VARS | DUR:[16]ms | ACC:[1.00000] | BRK:[1.00000] | STR:[-1.00000]
