UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsBest;Likeness;VehicleSpeed;VehicleDistanceToCenter;VehicleMaxAcceleration;VehicleSmoothness
-1;-1;-1;2026-07-02 09:54:17;1;sampling;TRUE;1.0;53.423;22.453;11.992;1.501
-1;-1;-1;2026-07-02 09:55:26;2;sampling;TRUE;1.0;68.77;3.042;6.474;3.708
-1;-1;-1;2026-07-02 09:57:26;3;sampling;TRUE;1.0;63.508;27.257;11.9;4.114
-1;-1;-1;2026-07-02 09:58:31;4;sampling;TRUE;1.0;89.313;64.447;7.017;6.068
-1;-1;-1;2026-07-02 10:00:20;5;sampling;TRUE;1.0;52.737;0.518;12.254;2.983
-1;-1;-1;2026-07-02 10:00:21;6;sampling;TRUE;1.0;98.445;7.886;10.477;5.201
-1;-1;-1;2026-07-02 10:00:21;7;sampling;TRUE;1.0;83.442;82.733;8.18;1.793
-1;-1;-1;2026-07-02 10:00:21;8;sampling;TRUE;1.0;72.161;64.446;8.432;3.863
-1;-1;-1;2026-07-02 10:00:22;9;sampling;TRUE;1.0;74.269;92.524;7.926;7.389
-1;-1;-1;2026-07-02 10:00:29;10;optimization;TRUE;1.0;73.15;94.475;7.977;7.719
-1;-1;-1;2026-07-02 10:00:34;11;optimization;TRUE;1.0;71.875;96.66;8.017;8.023
-1;-1;-1;2026-07-02 10:00:39;12;optimization;TRUE;1.0;70.608;98.715;8.166;8.328
-1;-1;-1;2026-07-02 10:00:44;13;optimization;TRUE;1.0;69.845;100.0;8.531;8.592
-1;-1;-1;2026-07-02 10:00:46;14;optimization;TRUE;1.0;69.052;100.0;8.929;8.834
-1;-1;-1;2026-07-02 10:00:49;15;optimization;TRUE;1.0;68.221;100.0;9.393;9.0
-1;-1;-1;2026-07-02 10:01:32;16;optimization;TRUE;1.0;68.501;100.0;9.927;9.0
-1;-1;-1;2026-07-02 10:01:42;17;optimization;TRUE;1.0;68.234;100.0;10.445;9.0
-1;-1;-1;2026-07-02 10:01:51;18;optimization;TRUE;1.0;68.36;100.0;10.963;9.0
